Name,Category,Education,Experience,Skills,Projects,Probability Score
Unknown,Python Developer,"EDUCATION
Usman Institute of Technoloy 2021 - 2025
Persuing my bachelor degree in Software engineering major
Govt. Degree Boys college Johar 2019 - 2021
Complete intermediate form Pre-Engineering
The Educator School 2006 - 2019
Complete my matrictulation from computer Science
PROJECTS",Experience section not found.,,"PROJECTS
Boiler management system
In my third semester, my group and I developed a boiler management system to digitize and
automate reporting malfunctions and operating the boiler remotely, replacing manual processes.
Learning management system
During my fifth semester, my team and I created a web-based Learning Management System,
reminiscent of Udemy, using Django for development.
FaceTrack Attendance System
This Flask app employs facial recognition for automated attendance, integrating OpenCV for image
processing and a K-Nearest Neighbors model, while offering user management via a web interface.
Resume Rater (RR)
Developed a web app that evaluates resume-job description match using TF-IDF and cosine
similarity, providing a match rating and similarity score.
Emotion Entertainment (EmoEnt)
The EmoEnt project is an app that uses machine learning and NLP to analyze and interpret
emotions from text inputs, providing emotional insights and analysis.
ADDITIONAL INFORMATION
Skills",0.34
Unknown,Python Developer,"EDUCATION
Usman Institute of Technoloy 2021 - 2025
Persuing my bachelor degree in Software engineering major
Govt. Degree Boys college Johar 2019 - 2021
Complete intermediate form Pre-Engineering
The Educator School 2006 - 2019
Complete my matrictulation from computer Science
PROJECTS",Experience section not found.,,"PROJECTS
Boiler management system
In my third semester, my group and I developed a boiler management system to digitize and
automate reporting malfunctions and operating the boiler remotely, replacing manual processes.
Learning management system
During my fifth semester, my team and I created a web-based Learning Management System,
reminiscent of Udemy, using Django for development.
FaceTrack Attendance System
This Flask app employs facial recognition for automated attendance, integrating OpenCV for image
processing and a K-Nearest Neighbors model, while offering user management via a web interface.
Resume Rater (RR)
Developed a web app that evaluates resume-job description match using TF-IDF and cosine
similarity, providing a match rating and similarity score.
Emotion Entertainment (EmoEnt)
The EmoEnt project is an app that uses machine learning and NLP to analyze and interpret
emotions from text inputs, providing emotional insights and analysis.
ADDITIONAL INFORMATION",0.34
Unknown,Python Developer,"EDUCATION
Usman Institute of Technoloy 2021 - 2025
Persuing my bachelor degree in Software engineering major
Govt. Degree Boys college Johar 2019 - 2021
Complete intermediate form Pre-Engineering
The Educator School 2006 - 2019
Complete my matrictulation from computer Science",,,,0.34
Unknown,Python Developer,"EDUCATION
Usman Institute of Technoloy 2021 - 2025
Persuing my bachelor degree in Software engineering major
Govt. Degree Boys college Johar 2019 - 2021
Complete intermediate form Pre-Engineering
The Educator School 2006 - 2019
Complete my matrictulation from computer Science",,"skills to software
solutions, I thrive on learning and adapting in this dynamic field.
EDUCATION
Usman Institute of Technoloy 2021 - 2025
Persuing my bachelor degree in Software engineering major
Govt. Degree Boys college Johar 2019 - 2021
Complete intermediate form Pre-Engineering
The Educator School 2006 - 2019
Complete my matrictulation from computer Science","projects and a hobby in graphic design, I bring a
creative and analytical approach to problem-solving. Eager to contribute my",0.34
Unknown,Python Developer,"EDUCATION
Usman Institute of Technoloy 2021 - 2025
Persuing my bachelor degree in Software engineering major
Govt. Degree Boys college Johar 2019 - 2021
Complete intermediate form Pre-Engineering
The Educator School 2006 - 2019
Complete my matrictulation from computer Science
PROJECTS",Experience section not found.,,"PROJECTS
Boiler management system
In my third semester, my group and I developed a boiler management system to digitize and
automate reporting malfunctions and operating the boiler remotely, replacing manual processes.
Learning management system
During my fifth semester, my team and I created a web-based Learning Management System,
reminiscent of Udemy, using Django for development.
FaceTrack Attendance System
This Flask app employs facial recognition for automated attendance, integrating OpenCV for image
processing and a K-Nearest Neighbors model, while offering user management via a web interface.
Resume Rater (RR)
Developed a web app that evaluates resume-job description match using TF-IDF and cosine
similarity, providing a match rating and similarity score.
Emotion Entertainment (EmoEnt)
The EmoEnt project is an app that uses machine learning and NLP to analyze and interpret
emotions from text inputs, providing emotional insights and analysis.
ADDITIONAL INFORMATION",0.34
Saads_CV_Resume.pdf,Python Developer,"EDUCATION
Usman Institute of Technoloy 2021 - 2025
Persuing my bachelor degree in Software engineering major
Govt. Degree Boys college Johar 2019 - 2021
Complete intermediate form Pre-Engineering
The Educator School 2006 - 2019
Complete my matrictulation from computer Science",,"skills to software
solutions, I thrive on learning and adapting in this dynamic field.
EDUCATION
Usman Institute of Technoloy 2021 - 2025
Persuing my bachelor degree in Software engineering major
Govt. Degree Boys college Johar 2019 - 2021
Complete intermediate form Pre-Engineering
The Educator School 2006 - 2019
Complete my matrictulation from computer Science","projects and a hobby in graphic design, I bring a
creative and analytical approach to problem-solving. Eager to contribute my",0.34
Unknown,Python Developer,"EDUCATION
Usman Institute of Technoloy 2021 - 2025
Persuing my bachelor degree in Software engineering major
Govt. Degree Boys college Johar 2019 - 2021
Complete intermediate form Pre-Engineering
The Educator School 2006 - 2019
Complete my matrictulation from computer Science
PROJECTS",Experience section not found.,"Skills:
Python, Django, Flask, MySQL, Figma, Canva, Photoshop, AI, ML.
Languages","PROJECTS
Boiler management system
In my third semester, my group and I developed a boiler management system to digitize and
automate reporting malfunctions and operating the boiler remotely, replacing manual processes.
Learning management system
During my fifth semester, my team and I created a web-based Learning Management System,
reminiscent of Udemy, using Django for development.
FaceTrack Attendance System
This Flask app employs facial recognition for automated attendance, integrating OpenCV for image
processing and a K-Nearest Neighbors model, while offering user management via a web interface.
Resume Rater (RR)
Developed a web app that evaluates resume-job description match using TF-IDF and cosine
similarity, providing a match rating and similarity score.
Emotion Entertainment (EmoEnt)
The EmoEnt project is an app that uses machine learning and NLP to analyze and interpret
emotions from text inputs, providing emotional insights and analysis.
ADDITIONAL INFORMATION
Skills:
Python, Django, Flask, MySQL, Figma, Canva, Photoshop, AI, ML.
Languages",0.34
Unknown,Data Scientist,"EDUCATION
NED Univeristy (UIT)
Bachelor of Science in Software Engineering 2025
WORK EXPERIENCE
360 Xpert Solutions
AI Engineer Intern July 2024 - Aug 2024
• Collaborated with a team at 360 Xpert Solutions to develop a participant registration and
verification application for an athletic company, resulting in streamlined data capture for over
2,000 participants before the race.
• Implemented a verification system using the OpenCV library in Python that cross-references
the declared winner with the initial registrant among 2,000+ participants, ensuring fairness and
preventing fraud during events.
• Enhanced competition integrity and participant experience by creating a transparent verification
process, leading to a significant increase in trust among athletes and organizers.
• Contributed to a trustworthy race environment through innovative features, improving overall
race operations and participant satisfaction.
MIcro Electronic Research Lab
Research Intern Sep 2022 - Dec 2023
• Developed spiking neural networks (SNN) for microprocessors, enabling decision-making
capabilities similar to human neural networks and resulting in smarter, adaptive systems that
respond to real-time data.
• Integrated AI algorithms into microprocessors, enhancing functionality and improving overall
performance across various applications.
• Contributed to the Vaquita project, an open-source RISC-V vector core, leading to enhanced
parallel data processing and improved computational efficiency through advanced masking
techniques.
PROJECT
Resume Rater Aug 2024
• Developed a web application using the TF-IDF approach and cosine similarity to assess resume
alignment with job descriptions, resulting in a 30% average improvement in match scores and a
40% increase in interview chances for over 500 job seekers.
• Provided actionable insights for resume refinement, leading to a 25% increase in interview
requests and enhanced user experience.
• Project Link: github.com/Nomad-Dev-Saad/Resume-Rater-RR
Emotion Entertainment July 2024
• Developed the EmoEnt project, a machine learning and NLP application that analyzes emotions
in text inputs, resulting in valuable emotional insights and enhanced understanding of written
communication.
• Facilitated more effective interpersonal interactions by providing actionable emotional analysis,
leading to improved communication skills and awareness.
• Project Link: github.com/Nomad-Dev-Saad/EmoEnt
SKILLS",Experience section not found.,"SKILLS
• Languages: Python, Javascript, HTML, CSS, Bash, Scala
• Framework: OpenCV, Flask, SkLearn, Numpy, Pandas, JFrame
• Tools: Git, Github, PowerBi, Linux",Projects section not found.,0.98
Unknown,Data Scientist,"EDUCATION
NED Univeristy (UIT)
Bachelor of Science in Software Engineering 2025
WORK EXPERIENCE
360 Xpert Solutions
AI Engineer Intern July 2024 - Aug 2024
• Collaborated with a team at 360 Xpert Solutions to develop a participant registration and
verification application for an athletic company, resulting in streamlined data capture for over
2,000 participants before the race.
• Implemented a verification system using the OpenCV library in Python that cross-references
the declared winner with the initial registrant among 2,000+ participants, ensuring fairness and
preventing fraud during events.
• Enhanced competition integrity and participant experience by creating a transparent verification
process, leading to a significant increase in trust among athletes and organizers.
• Contributed to a trustworthy race environment through innovative features, improving overall
race operations and participant satisfaction.
MIcro Electronic Research Lab
Research Intern Sep 2022 - Dec 2023
• Developed spiking neural networks (SNN) for microprocessors, enabling decision-making
capabilities similar to human neural networks and resulting in smarter, adaptive systems that
respond to real-time data.
• Integrated AI algorithms into microprocessors, enhancing functionality and improving overall
performance across various applications.
• Contributed to the Vaquita project, an open-source RISC-V vector core, leading to enhanced
parallel data processing and improved computational efficiency through advanced masking
techniques.
PROJECT
Resume Rater Aug 2024
• Developed a web application using the TF-IDF approach and cosine similarity to assess resume
alignment with job descriptions, resulting in a 30% average improvement in match scores and a
40% increase in interview chances for over 500 job seekers.
• Provided actionable insights for resume refinement, leading to a 25% increase in interview
requests and enhanced user experience.
• Project Link: github.com/Nomad-Dev-Saad/Resume-Rater-RR
Emotion Entertainment July 2024
• Developed the EmoEnt project, a machine learning and NLP application that analyzes emotions
in text inputs, resulting in valuable emotional insights and enhanced understanding of written
communication.
• Facilitated more effective interpersonal interactions by providing actionable emotional analysis,
leading to improved communication skills and awareness.
• Project Link: github.com/Nomad-Dev-Saad/EmoEnt
SKILLS",Experience section not found.,"SKILLS
• Languages: Python, Javascript, HTML, CSS, Bash, Scala
• Framework: OpenCV, Flask, SkLearn, Numpy, Pandas, JFrame
• Tools: Git, Github, PowerBi, Linux",Projects section not found.,0.98
Unknown,Data Scientist,"EDUCATION
NED Univeristy (UIT)
Bachelor of Science in Software Engineering 2025
WORK EXPERIENCE
360 Xpert Solutions
AI Engineer Intern July 2024 - Aug 2024
• Collaborated with a team at 360 Xpert Solutions to develop a participant registration and
verification application for an athletic company, resulting in streamlined data capture for over
2,000 participants before the race.
• Implemented a verification system using the OpenCV library in Python that cross-references
the declared winner with the initial registrant among 2,000+ participants, ensuring fairness and
preventing fraud during events.
• Enhanced competition integrity and participant experience by creating a transparent verification
process, leading to a significant increase in trust among athletes and organizers.
• Contributed to a trustworthy race environment through innovative features, improving overall
race operations and participant satisfaction.
MIcro Electronic Research Lab
Research Intern Sep 2022 - Dec 2023
• Developed spiking neural networks (SNN) for microprocessors, enabling decision-making
capabilities similar to human neural networks and resulting in smarter, adaptive systems that
respond to real-time data.
• Integrated AI algorithms into microprocessors, enhancing functionality and improving overall
performance across various applications.
• Contributed to the Vaquita project, an open-source RISC-V vector core, leading to enhanced
parallel data processing and improved computational efficiency through advanced masking
techniques.
PROJECT
Resume Rater Aug 2024
• Developed a web application using the TF-IDF approach and cosine similarity to assess resume
alignment with job descriptions, resulting in a 30% average improvement in match scores and a
40% increase in interview chances for over 500 job seekers.
• Provided actionable insights for resume refinement, leading to a 25% increase in interview
requests and enhanced user experience.
• Project Link: github.com/Nomad-Dev-Saad/Resume-Rater-RR
Emotion Entertainment July 2024
• Developed the EmoEnt project, a machine learning and NLP application that analyzes emotions
in text inputs, resulting in valuable emotional insights and enhanced understanding of written
communication.
• Facilitated more effective interpersonal interactions by providing actionable emotional analysis,
leading to improved communication skills and awareness.
• Project Link: github.com/Nomad-Dev-Saad/EmoEnt
SKILLS",Experience section not found.,"SKILLS
• Languages: Python, Javascript, HTML, CSS, Bash, Scala
• Framework: OpenCV, Flask, SkLearn, Numpy, Pandas, JFrame
• Tools: Git, Github, PowerBi, Linux",Projects section not found.,0.98
